label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,major_axis_length,minor_axis_length,area_bbox,extent,area_filled,area_convex,euler_number,intensity_max-0,intensity_max-1,intensity_mean-0,intensity_mean-1,intensity_min-0,intensity_min-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,inertia_tensor_eigvals-2,solidity,well_area
42,32.440357142857145,1579.1067857142857,1393.305892857143,30,1557,1365,36,1603,1421,5600,59.588411750480724,6.096944623982776,15456,0.36231884057971014,5600,10128,-19,1514.0,228.0,731.8642857142858,184.54071428571427,420.0,142.0,286.8112252705125,179.39757743463707,111.1309212106667,0.5529225908372828,18064950
43,75.41346936078189,3711.7576777498502,2455.5371656188117,47,3564,2369,101,3808,2537,438833,251.10657415834518,31.657404353794774,2213568,0.19824690273802295,438972,821162,-641,7597.0,1617.0,591.6142336606408,240.20379734432004,168.0,149.0,4314.83013266348,3202.8351417980084,1212.214115907438,0.534404904269803,18064950
44,63.71010439970171,945.0246706437981,2944.6029704200846,58,911,2907,71,987,2987,16092,93.03918590824433,11.911731970880442,79040,0.20359311740890687,16092,45378,-4,3207.0,197.0,815.1679716629382,160.03765846383297,407.0,123.0,651.5978152440191,439.9089736507473,225.8777774478813,0.3546211820706069,18064950
45,54.52314269669028,1891.9490951250882,3543.8696762739805,45,1833,3482,64,1968,3595,55201,136.55113800077388,14.346199271076136,289845,0.19045006813986787,55217,115494,-23,3484.0,1924.0,584.5857321425336,261.57560551439286,156.0,144.0,1356.1486336555427,942.6013361415909,434.1286408664943,0.47795556479124457,18064950
46,76.56540897824291,554.8493527953732,2700.6893417791243,73,532,2684,80,576,2719,3631,43.59166821056961,5.332014800916077,10780,0.33682745825602967,3631,4983,0,1112.0,233.0,657.6876893417791,192.9385844120077,303.0,154.0,145.34366649712118,96.43319596087865,51.75350871996134,0.7286775035119406,18064950
47,68.94083550913838,538.4583289817232,2919.0444908616187,64,505,2887,77,572,2949,19150,64.3662797929358,10.216188017890582,54002,0.354616495685345,19166,24281,2,861.0,1383.0,289.5546736292428,379.3703394255875,103.0,153.0,385.9308384061094,212.3694235999693,183.9984645678292,0.7886825089576212,18064950
48,87.18552746294682,1874.585004359198,30.98314443475734,83,1843,0,93,1905,65,17205,77.14200537306586,8.148592874646818,40300,0.4269230769230769,17205,24709,-2,1029.0,1135.0,182.50531822144725,448.9117698343505,76.0,120.0,496.0193904584694,300.86442794074327,201.7949191014006,0.6963049900845846,18064950
49,52.6997705670272,2165.650242179249,3162.87144469937,48,2128,3105,59,2206,3205,27459,103.49167538013424,9.670121517846608,85800,0.32003496503496504,27459,44759,-10,1655.0,1799.0,319.2148657999199,446.79005062092574,81.0,124.0,799.1955920941061,540.2019061578502,268.34481095324793,0.6134855559775687,18064950
50,76.18393185222072,535.8236812023948,1438.8904255840887,64,432,1312,95,634,1541,265071,197.24423015824016,24.08629378943965,1433998,0.18484753814161525,265294,516355,-227,5938.0,1381.0,629.0554681575879,266.69160338173543,142.0,157.0,3008.936742055225,1974.2717939614006,1092.6799029449442,0.5133503113168266,18064950
51,82.86095181032269,4098.871137550287,2627.312933321921,77,4062,2583,90,4144,2664,23366,89.77596751386989,10.672418689729398,86346,0.27060894540569336,23371,40994,0,8863.0,231.0,967.512496790208,179.7911067362835,287.0,132.0,613.7324351975069,408.6812431870153,216.44124407938014,0.5699858515880373,18064950
52,98.00110231486121,4464.579166249123,1722.0684437318369,85,4412,1678,101,4522,1774,19958,107.54066302212723,8.584991533055733,168960,0.11812263257575757,19970,80901,-443,320.0,254.0,227.36536727126966,200.35639843671711,164.0,164.0,913.3584323921407,581.9348141430681,338.7938262113364,0.24669657977033657,18064950
53,90.94033275960987,4109.836106330083,2336.7154331612164,87,4088,2309,97,4139,2365,10458,59.394119280839334,7.7047159231616344,28560,0.36617647058823527,10459,14442,0,1958.0,1732.0,293.5150124306751,454.1007840887359,92.0,152.0,306.48233454049245,179.35120263015955,133.06739665599494,0.7241379310344828,18064950
54,59.00706671813296,2648.0939160901453,909.279491671368,53,2606,866,66,2692,956,33679,89.4106615460266,11.090748288109669,100620,0.3347147684356987,33725,50063,12,2235.0,467.0,691.564624840405,170.81932361412157,304.0,125.0,679.1801611068718,405.86355478441646,285.61707608147606,0.6727323572298903,18064950
55,39.403031346882536,2911.7930589045814,2373.5055976575954,34,2889,2348,46,2933,2400,11612,53.99873901967182,9.955849808411745,27456,0.42293123543123545,11612,14120,1,296.0,3559.0,150.28410265242852,687.6732690320358,109.0,246.0,239.23300984265182,150.749138056114,98.39576632730305,0.8223796033994334,18064950
56,52.544527595884006,2281.4867165575306,3555.9321796071094,48,2250,3530,58,2315,3588,10690,65.91056119346683,8.107369971419569,37700,0.28355437665782496,10690,18631,-5,1327.0,2123.0,366.2081384471469,344.1378858746492,122.0,153.0,369.5266004633302,220.49657623456062,155.60296901411718,0.573774891310182,18064950
57,70.16153640970926,563.1884769271805,2658.1025873566286,64,535,2628,78,599,2699,18745,69.47662850947471,11.283625945814142,63616,0.29465857645875254,18745,26287,-1,830.0,2743.0,168.55945585489465,602.5009335822887,120.0,206.0,378.93906813842426,247.71610617643017,143.9549834104991,0.7130901205919276,18064950
58,84.22687980241493,2370.6391671240394,138.42983328759604,75,2289,68,94,2444,193,58304,158.46806484818984,12.804820965796514,368125,0.15838098471986417,58306,163593,-39,3322.0,1519.0,633.1118791163557,211.30327250274425,96.0,92.0,2013.2271260928856,1263.8045508348102,765.8189192546855,0.35639666733906705,18064950
59,93.62173533380964,585.3086052234659,3611.746407874891,84,563,3578,101,621,3652,25194,75.11192151580349,14.33554754982491,72964,0.34529356943150047,25194,38870,-13,5641.0,316.0,871.1000635071842,200.91478129713423,186.0,153.0,406.91209020923066,292.36543386747576,135.097448697084,0.6481605351170568,18064950
60,95.77852123402064,4145.711799245806,3123.851776767051,87,4079,3037,101,4231,3199,95201,161.99979067215708,13.102069937481943,344736,0.27615624709922953,95227,174325,-92,3892.0,1774.0,484.69476160964695,224.08895914958876,88.0,111.0,2390.120711215601,1320.779820723469,1086.507314156799,0.5461121468521439,18064950
61,51.02944337935073,3000.3379511162093,2897.8957469337333,34,2893,2827,66,3102,2993,249326,210.60606071479123,21.378058969776475,1110208,0.2245759353202283,249579,424994,-91,6128.0,1524.0,569.4078756327058,248.5521887007372,109.0,122.0,3279.45758685443,2240.5967107558786,1084.5630166300753,0.586657693990974,18064950
